run_name,eval_csv_name,data_idx,std_speed,max_speed,heading_change_per_sec,mean_acceleration,ml_ade_log
full_trainval_12ep_1seed,eval_epoch_12.csv,6850,0.0995733958182796,1.211392587066673,4.159220778824983,0.0055272169528861,0.2932439025806967
full_trainval_12ep_1seed,eval_epoch_12.csv,23849,0.0170666000864,0.0393954312072224,38.43162047076911,-0.0046330881775018,0.12953211336790926
full_trainval_12ep_1seed,eval_epoch_12.csv,10897,0.0909685420367579,1.412770328114135,3.9970330818587136,0.0353005917533004,0.7380787801393556
full_trainval_12ep_1seed,eval_epoch_12.csv,9582,0.0999085359747844,1.823321145602133,0.5719963654272079,-0.0304020184792878,0.20577593167052174
full_trainval_12ep_1seed,eval_epoch_12.csv,21592,0.0866701036503261,1.186001686339591,4.875335992554245,-0.0200488024724546,0.3956276702255178
full_trainval_12ep_1seed,eval_epoch_12.csv,15703,0.1260006239282638,1.5405193929321728,4.164900557953482,0.0419778691714544,0.165991458351555
full_trainval_12ep_1seed,eval_epoch_12.csv,21162,0.0382218334029342,1.3136163823583988,0.8895513764165354,-0.0010784946394324,0.23226910012394753
full_trainval_12ep_1seed,eval_epoch_12.csv,17617,0.0949261410649901,1.8065669099151809,0.20192281712779128,0.018180910403949,0.19125991436189324
full_trainval_12ep_1seed,eval_epoch_12.csv,6006,0.4170058180677093,2.580809950383787,6.529381797575443,0.1494796866617335,0.7559931336027579
full_trainval_12ep_1seed,eval_epoch_12.csv,18315,0.0737242725326158,0.9047187408249784,3.349662542011062,0.0270682999302825,0.14957441950576886
full_trainval_12ep_1seed,eval_epoch_12.csv,4948,0.0536986560019706,1.625222446313025,0.4380236855216272,0.0011180175913797,0.09192850329028676
full_trainval_12ep_1seed,eval_epoch_12.csv,7504,0.089285605426531,0.2872559834015317,70.84620569159252,-0.036022396788145,0.13140775224610737
full_trainval_12ep_1seed,eval_epoch_12.csv,19073,0.2720149302297159,1.1716415834206464,42.36828629431489,0.0442106241252688,0.9453416152386392
full_trainval_12ep_1seed,eval_epoch_12.csv,6274,0.4203040716757379,1.625891755314723,49.64297808835931,0.0529832438622883,1.7175840895908798
full_trainval_12ep_1seed,eval_epoch_12.csv,24160,0.1769008716215057,1.2337471377879337,0.738712274738535,0.0080718327214505,0.29619087042811487
full_trainval_12ep_1seed,eval_epoch_12.csv,5179,0.101953352872637,1.790111728356393,5.9001391731638,0.0320221779599021,0.45895618179522113
full_trainval_12ep_1seed,eval_epoch_12.csv,12721,0.5372947352719601,1.6624379687674011,2.744701727590078,-0.1807548235928522,0.569134097345215
